DomainName,Cluster
10er-tagesticket.de,Regio Schiene
20jahrebahncard.de,Fernverkehr
20-jahre-bahncard.de,Fernverkehr
25jahreice.de,Fernverkehr
49eur.de,VT-Plattform (passiv)
abo-mehr.com,VT-Plattform (passiv)
abo-mehr.de,VT-Plattform (passiv)
abo-offensive.de,VT-Plattform (passiv)
aboservice-bahn.de,P.DL
aboticket.com,VT-Plattform (passiv)
abo-ticket.com,VT-Plattform (passiv)
abo-ticket.de,VT-Plattform (passiv)
aboundmehr.com,VT-Plattform (passiv)
aboundmehr.de,VT-Plattform (passiv)
adventskalender-bahn.de,P.DL
aeorcityliner.biz,Sonstige
aeorcityliner.com,Sonstige
aeorcitytiner.de,Sonstige
aeorcityliner.info,Sonstige
aeorcityliner.net,Sonstige
aeorcityliner.org,Sonstige
aerocityliner.biz,Sonstige
aerocityliner.com,Sonstige
aerocityliner.de,Sonstige
aerocityliner.eu,Sonstige
aerocityliner.info,Sonstige
aerocityliner.net,Sonstige
aerocityliner.org,Sonstige
aerorapid.biz,Sonstige
aerorapid.com,Sonstige
aerorapid.de,Sonstige
aerorapid.eu,Sonstige
aerorapid.info,Sonstige
aerorapid.net,Sonstige
aerorapid.org,Sonstige
airapid.biz,Sonstige
airapid.com,Sonstige
airapid.de,Sonstige
airapid.eu,Sonstige
airapid.info,Sonstige
airapid.net,Sonstige
airapid.org,Sonstige
airportcityexpress.biz,Sonstige
airportcityexpress.com,Sonstige
airportcityexpress.de,Sonstige
airportcityexpress.info,Sonstige
airportcityexpress.net,Sonstige
airportcityexpress.org,Sonstige
airportcityliner.biz,Sonstige
airportcityliner.com,Sonstige
airportcityliner.de,Sonstige
airportcityliner.info,Sonstige
airportcityliner.net,Sonstige
airportcityliner.org,Sonstige
airport-sprinter.eu,Sonstige
airrapid.eu,Sonstige
airxpress.eu,Sonstige
ak-schnellbus.de,Regio Bus
allersbergexpress.de,Regio Schiene
allersberg-express.de,Regio Schiene
allgaeufrankenexpress.de,Regio Schiene
allgaeu-franken-express.de,Regio Schiene
alpha-bahn.de,VT-Plattform (passiv)
altmarkbahn.biz,Regio Schiene
altmarkbahn.com,Regio Schiene
altmarkbahn.info,Regio Schiene
altmarkbahn.net,Regio Schiene
altmarkbahn.org,Regio Schiene
amsterdamonice.co.uk,Fernverkehr
amsterdam-on-ice.co.uk,Fernverkehr
amsterdamonice.com,Fernverkehr
amsterdam-on-ice.com,Fernverkehr
anaflok.de,Sonstige
analyse-bahn.de,P.DL
anhaltinischebahn.biz,Regio Schiene
anhaltinische-bahn.biz,Regio Schiene
anhaltinischebahn.com,Regio Schiene
anhaltinische-bahn.com,Regio Schiene
anhaltinischebahn.de,Regio Schiene
anhaltinische-bahn.de,Regio Schiene
anhaltinischebahn.info,Regio Schiene
anhaltinische-bahn.info,Regio Schiene
anhaltinischebahn.net,Regio Schiene
anhaltinische-bahn.net,Regio Schiene
anhaltinischebahn.org,Regio Schiene
anhaltinische-bahn.org,Regio Schiene
apps-bahn.de,VT-Plattform (passiv)
apps-bahn-tat.de,VT-Plattform (passiv)
autokraft.de,Regio Bus
autokraft-reisen.de,Regio Bus
autokraft-schnellbus.de,Regio Bus
autoverzicht.de,Sonstige
aw-handyticket.de,DB Vertrieb
baederbus.de,Regio Bus
bagn.de,VT-Plattform (passiv)
bahn.be,VT-Plattform (passiv)
bahn.co.uk,VT-Plattform (passiv)
bahn.com,VT-Plattform (aktiv)
bahn.de,VT-Plattform (aktiv)
bahn.eu,VT-Plattform (passiv)
bahn.fail,Sonstige
